104976 0.042640343 -0.08403592 322.4960750242 0.0 12.1847141251 0.0 0.79103 0.15206 0.00623 0.16695 
10501.0 0.033279985 -0.013674918 322.4934324698394 0.0 12.168885006688152 0.0 -0.10131 0.0262 -0.30553 0.02562 
105147 0.019480716 -0.00431928 322.4800267471 0.0 12.1849538563 0.0 0.03336 0.04665 -0.35682 0.07777 
105147.0 0.019241884 -0.0018222727 322.48002681344224 0.0 12.18495316268685 0.0 0.03336 0.04665 -0.35682 0.07777 
105236 0.002320092 -0.00259416 322.5116523251 0.0 12.1861972841 0.0 0.05769 0.04649 0.09786 0.04506 
105236.0 0.0019070739 -0.003278979 322.51165243982723 0.0 12.186197474327514 0.0 0.05769 0.04649 0.09786 0.04506 
105258 0.003267252 -0.004094604 322.5078328055 0.0 12.1862855639 0.0 -0.27239 0.06739 -0.14361 0.05589 
105258.0 0.005217366 -0.0030896289 322.50783226380173 0.0 12.186285284740242 0.0 -0.27239 0.06739 -0.14361 0.05589 
105267 0.010645776 0.015995808 322.5052442939 0.0 12.1866640833 0.0 -0.23034 0.06537 0.05144 0.07905 
105267.0 0.012294845 0.015635833 322.50524383582535 0.0 12.186664183292883 0.0 -0.23034 0.06537 0.05144 0.07905 
10527 0.00387684 0.036741275 322.4958921522 0.0 12.1707684429 0.0 0.4573 0.34653 1.17878 0.28054 
10527.0 0.00060309697 0.028492237 322.49589306157304 0.0 12.170770734299882 0.0 0.4573 0.34653 1.17878 0.28054 
105301 0.004390668 0.000419688 322.4982835821 0.0 12.18619758 0.0 -0.49075 0.05688 -0.11059 0.04438 
105301.0 0.007904079 0.0011935909 322.49828260615254 0.0 12.186197365026965 0.0 -0.49075 0.05688 -0.11059 0.04438 
105355 -0.004673412 -0.015077376 322.4974706942 0.0 12.1868309329 0.0 0.66424 0.09635 -0.07603 0.05001 
105355.0 -0.009428896 -0.014545322 322.49747201516766 0.0 12.18683078510725 0.0 0.66424 0.09635 -0.07603 0.05001 
105360 0.084674664 0.004562424 322.4855368667 0.0 12.1868945109 0.0 -0.23275 0.05845 -0.29766 0.05352 
105416 0.003686076 -0.003637764 322.4792434271 0.0 12.1858278255 0.0 -0.19434 0.09846 -0.0002 0.08433 
105416.0 0.0050774063 -0.0036363644 322.4792430406194 0.0 12.185827825111227 0.0 -0.19434 0.09846 -0.0002 0.08433 
105481 -0.012261924 -0.005824152 322.4764145762 0.0 12.186308757 0.0 -0.14064 0.05682 0.19561 0.21385 
105481.0 -0.011255044 -0.0071930205 322.4764142965111 0.0 12.186309137241208 0.0 -0.14064 0.05682 0.19561 0.21385 
105487 -0.06578406 -0.05987826 322.476623013 0.0 12.1856713231 0.0 -0.72394 0.2216 -0.67906 0.15202 
105489 -0.002076912 -0.00395622 322.5016405507 0.0 12.1871907639 0.0 -0.25225 0.044 -0.31312 0.04837 
105489.0 -0.0002709798 -0.001765023 322.5016400490522 0.0 12.187190155234152 0.0 -0.25225 0.044 -0.31312 0.04837 
105506 -0.00027874802 -0.002444292 322.5099226125 0.0 12.1881278851 0.0 -0.00242 0.05584 -0.15183 0.13015 
105506.0 -0.00026142248 -0.0013817938 322.5099226076874 0.0 12.188127589961601 0.0 -0.00242 0.05584 -0.15183 0.13015 
105592 -0.002754216 -0.008208144 322.5039672314 0.0 12.1870727501 0.0 -0.10946 0.05853 -0.2551 0.06854 
105592.0 -0.0019705598 -0.0064229676 322.5039670137177 0.0 12.187072254217721 0.0 -0.10946 0.05853 -0.2551 0.06854 
